name,species,age,energy_level,size,training_level,needs_quiet,good_with_kids,mean_score,median_score,p90_score,share_strong_match,share_zero_chance
Mochi,cat,1,2,small,3,False,False,0.29755657438132455,0.28512887675833365,0.5754979671763886,0.075,0.345
Hazel,rabbit,4,3,small,3,True,False,0.18972989056748576,0.1347179288479366,0.4142707956426271,0.035,0.685
Daisy,dog,12,3,large,4,True,True,0.16376704640940962,0.11016637762159742,0.34537016215820615,0.01,0.72
Tigger,cat,13,6,small,2,False,False,0.35143832417282367,0.3313521344536337,0.6483590063181941,0.145,0.27
Bunbun,rabbit,4,2,small,4,True,False,0.2241164651654659,0.16933983900886337,0.5104058872362389,0.06,0.61
Charlie,dog,8,10,small,9,True,False,0.1055134200913783,0.09355542654424195,0.21224257184735923,0.0,0.885
Simba,cat,11,6,small,6,True,False,0.20591922760682566,0.14153181582638885,0.5305795416897426,0.05,0.625
Hazel,rabbit,4,3,small,1,True,False,0.1681942630265501,0.1263336416842437,0.35284511625583004,0.0,0.725
Cooper,dog,9,8,medium,9,True,False,0.09568059221787717,0.0852812687973584,0.19661921633430032,0.0,0.9
Oliver,cat,1,8,small,1,True,True,0.12145433114431019,0.10169804573795996,0.21905947272352747,0.0,0.865
Cinnamon,rabbit,2,5,small,2,True,False,0.21671312271426132,0.15600107070073366,0.5025829560974261,0.05,0.64
Bailey,dog,11,5,medium,9,False,False,0.39139954890542256,0.3661488063146229,0.6681034776272275,0.26,0.215
Biscuit,cat,11,8,medium,1,False,True,0.2204572418446349,0.19602585594783983,0.42257972876694144,0.03,0.505
Cinnamon,rabbit,8,6,small,2,True,False,0.21079971994759636,0.141601644973813,0.4932486936103168,0.06,0.635
Lucy,dog,5,9,large,5,False,False,0.19569591338472953,0.16830859443604224,0.3786894222970338,0.035,0.575
Biscuit,cat,3,5,small,5,False,True,0.4602360851344402,0.46506529621593407,0.6842331173155383,0.245,0.09
Thumper,rabbit,7,2,small,1,True,False,0.16281896740605306,0.12163308239073134,0.35384519835880623,0.0,0.745
Tucker,dog,9,4,medium,9,True,True,0.21812536639424607,0.16345646728066945,0.5412125048541225,0.055,0.61
Felix,cat,7,7,small,4,True,True,0.23357817265361625,0.18728729765241658,0.5872420014764139,0.09,0.54
Cocoa,rabbit,6,2,small,1,True,True,0.1727178505909553,0.12022211739892452,0.44521882094354837,0.005,0.725
Lucy,dog,3,3,small,5,True,True,0.21195222486586127,0.15757922606200972,0.5424910306015293,0.045,0.685
Salem,cat,12,6,small,5,True,True,0.24598252812488813,0.17768194807411525,0.5986053192611055,0.1,0.565
Hazel,rabbit,5,7,small,4,True,True,0.2376624733309166,0.19003196565907896,0.5856516581244829,0.08,0.57
Buddy,dog,7,9,large,9,False,True,0.22742455423309116,0.20552429438553055,0.4648007883189244,0.05,0.495
Cleo,cat,4,4,medium,2,False,False,0.3152061778623593,0.30632959313141916,0.598003857677815,0.1,0.31
Snowball,rabbit,3,4,small,2,True,False,0.19125566823549484,0.13105155779448707,0.4224755058704679,0.03,0.685
Rocky,dog,4,4,small,5,False,True,0.3911572493076039,0.4029289561593242,0.6293437824089781,0.18,0.215
Pumpkin,cat,2,7,medium,2,False,True,0.35072652146346256,0.33479403741653213,0.6390985816481279,0.135,0.265
Cinnamon,rabbit,7,7,small,1,True,False,0.1882400620004263,0.12788922927193774,0.45302234267761515,0.035,0.675
Bella,dog,4,8,large,9,True,False,0.08006908061408463,0.06361208924710607,0.17774497530547947,0.0,0.935
Cleo,cat,13,6,small,1,True,False,0.1678859949560941,0.10538472586379458,0.4143639449552996,0.01,0.73
Cocoa,rabbit,2,2,small,4,True,True,0.22494853923215696,0.16281997098184087,0.5544400319195109,0.055,0.655
Charlie,dog,4,5,small,5,False,True,0.43371523888251473,0.48395229614815777,0.6741251730123149,0.245,0.185
Pepper,cat,11,2,small,1,False,True,0.3220920238352526,0.2953866470354728,0.5738706244620542,0.08,0.295
Hazel,rabbit,6,5,small,3,True,False,0.21578010401412012,0.14905979493530885,0.4943031581753273,0.045,0.64
Zoe,dog,4,8,small,3,False,False,0.1766126674231425,0.141147305518717,0.3459345662278579,0.025,0.67
Pumpkin,cat,8,6,medium,2,True,True,0.2178815628612935,0.15215005013005278,0.5158658866678182,0.075,0.63
Hazel,rabbit,1,4,small,4,True,False,0.2644920412113941,0.2374477252565695,0.5163887151846043,0.07,0.39
Rocky,dog,9,8,large,3,False,True,0.19602604365717816,0.1709770597374689,0.37358492673754423,0.04,0.575
Biscuit,cat,15,7,small,3,False,True,0.1811500890208649,0.15106745393632617,0.35385512452632634,0.01,0.655
Bunbun,rabbit,3,5,small,2,True,True,0.22019024680834215,0.14351493367618462,0.5130831141420228,0.055,0.65
Luna,dog,6,7,medium,10,False,True,0.4019489663195458,0.41908524498245925,0.6632018161862011,0.255,0.21
Whiskers,cat,4,5,medium,6,True,False,0.2336030584717336,0.17442745825661876,0.557155877313403,0.085,0.56
Bunbun,rabbit,3,6,small,4,True,True,0.25362531247522907,0.1830352378917074,0.5900704709596303,0.09,0.55
